,RedMeat,WhiteMeat,Eggs,Milk,Fish,Cereals,Starch,Nuts,Fr.Veg
Albania,0.08294064563666281,-1.7947501705149473,-2.2245842500110204,-1.1795702980397118,-1.2250328189285304,0.9348044965424135,-2.2959650864136925,1.2479677108311553,-1.378251406538105
Austria,-0.2829739674662632,1.6864462809149074,1.2456210660981253,0.40046785082010616,-0.6551105966062464,-0.39505068656110026,-0.4222177362392969,-0.910790273308405,0.09278868254197407
Belgium,1.1196987160949539,0.38790474744504116,1.062978681039749,0.055732254705236954,0.06479115790611234,-0.5252462988929127,0.8894054088827799,-0.4995982763294411,-0.07694671235188114
Bulgaria,-0.6183956961439457,-0.5238371803103972,-1.2200511321899519,-1.265754197068429,-0.9250737545483809,2.2739593662410575,-1.9836738613846263,0.32278571762848673,0.03621021757735583
Czechoslovakia,-0.039030892064312706,0.9681041560166835,-0.12419682183969545,-0.6624669038674077,-0.6851065030442614,0.190829568932056,0.4521976938420875,-1.013588272553146,-0.07694671235188114
Denmark,0.2354050677628821,0.8023328964247858,0.6976939109229974,1.133030992564204,1.6845701055589197,-0.962331568863998,0.32728120383046105,-1.219184271042628,-0.9822021517857762
E Germany,-0.4354383895924825,1.023361242547316,0.6976939109229974,-0.8635626682677482,0.334754315848247,-0.711240030795502,1.3890713689292853,-1.1677852714202577,-0.30326057221035485
Finland,-0.1000166609148002,-0.8277511562288764,-0.21551801436888318,2.382697528480606,0.4547379416003066,-0.5531453586783012,0.5146559388479005,-1.0649872721755165,-1.5479868014319607
France,2.4918785152309275,0.5536760070369389,0.3324091408062448,0.3430119181342948,0.42474203516229175,-0.3857509999659707,0.32728120383046105,-0.34540127746232974,1.3375149117635798
Greece,0.11343353006190655,-1.3526934782698863,-0.12419682183969545,0.07009623787669005,0.4847338480383217,0.8790063769716372,-1.2966331663206814,2.4301447021456766,1.3375149117635798
Hungary,-1.380717806775042,1.2443895886698466,-0.032875629310507325,-1.0646584326680888,-1.1950369124905156,0.7302113914495656,-0.17238475621604424,1.196568711208785,0.03621021757735583
Ireland,1.2416702537959294,0.5813045503022551,1.6109058362148778,1.2479428579358272,-0.6251146901682314,-0.767038150366279,1.2016966339118458,-0.7565932744412935,-0.699309826962684
Italy,-0.25248108304101946,-0.772494069698244,-0.032875629310507325,-0.49009910580997307,-0.2651638129120521,0.4233217338102927,-1.3590914113264947,0.6311797153627094,1.4506718416928168
Netherlands,-0.1000166609148002,1.5759321078536421,0.6063727183938092,0.9032072618209573,-0.5351269708541866,-0.9158331358883507,-0.04746826620441778,-0.6537952751965526,-0.24668210724573636
Norway,-0.13050954534004394,-0.8830082427595091,-0.21551801436888318,0.8888432786495049,1.6245782926828893,-0.8600350163175737,0.2023647138188346,-0.7565932744412935,-0.8124667568919207
Poland,-0.8928316559711402,0.6365616368328876,-0.21551801436888318,0.3142839517913891,-0.3851474386641119,0.3582239276443868,1.0143218988944063,-0.5509972759518117,1.394093376728198
Portugal,-1.1062818469478473,-1.1592936754126721,-1.676657094835892,-1.7541296248978273,2.9743940823935624,-0.48804755251239496,1.0143218988944063,0.8367757138521915,2.129613421268238
Romania,-1.1062818469478473,-0.4409515505144483,-1.31137232471914,-0.8635626682677482,-0.9850655674244109,1.6136816179868652,-0.7345089612683628,1.1451697115864143,-0.7558882919273024
Spain,-0.8318458871206528,-1.2421793052086212,0.14976675574786893,-1.2226622475540705,0.814688818856486,-0.28345444741954673,0.8894054088827799,1.4535637093206375,1.733564166515909
Sweden,0.021954876786175324,-0.02652340153470368,0.5150515258646211,1.089939043049845,0.9646683510465608,-1.1855240471471051,-0.35975949123348366,-0.8593912736860346,-1.20851601164425
Switzerland,0.9977271783939784,0.6089330935675713,0.14976675574786893,0.9606631945067693,-0.5951187837302165,-0.6182431648442074,-0.9218836962858025,-0.34540127746232974,0.432259472329685
UK,2.3089212086794637,-0.606722810106346,1.6109058362148778,0.5010157330202768,0.004799345030082396,-0.7391390905808906,0.2648229588246481,0.16858871876137513,-0.4729959671042103
USSR,-0.1610024297652877,-0.9106367860248256,-0.7634451695440115,-0.07354359383783887,-0.3851474386641119,1.0557004222790969,1.3266131239234722,0.16858871876137513,-0.699309826962684
W Germany,0.4793481431648331,1.2720181319351627,1.062978681039749,0.24246403593412466,-0.2651638129120521,-1.2692212265032703,0.577114183853714,-0.807992274063664,-0.19010364228111812
Yugoslavia,-1.6551537666022367,-0.8001226129635602,-1.5853359023067042,-1.0933863990109944,-1.1050491931764705,2.1995618734800213,-0.796967206274176,1.3507657100758965,-0.5295744320688285
